JONSWAP Spectrum and Wave Train
===============================

Inputs:
Hs=4.50m
Tz=8.00s
Freq=[0.01, 3.50, step 0.00] rd/s
Time=[0.00, 2000.00, step 0.10] s

Spectral Parameters:
gamma=3.93
Tp=10.14 s
wp=0.62 rd/s
alpha=0.01

Spectral Moments:
m0=1.265 m^2
m1=0.924 m^2.rd/s
m2=0.758 m^2.(rd/s)^2
m3=0.745 m^2.(rd/s)^3
m4=0.945 m^2.(rd/s)^4

Wave Elevation Statictics:
Max: 3.88m
Min: -4.20m
Mean: -0.00m
StDev: 1.18m

Double Check Spectrum:
Hs=4*sqrt(m0)=4.50 m (-0%)
Tz=2*Pi*sqrt(m0/m2)=8.12 s (+1%)

Double Check Wave Train:
Hs=4*stdev(elevation)=4.72 m (+5%)
Tz=duration/upCrossings=8.30 s (+4%)

Spectrum and wave components:
omega	S(w)	Ampl	phi
rd/s	m2s/rd	 m  	rd
0.38	0.008	0.004	5.51
0.38	0.009	0.004	1.00
0.38	0.010	0.004	2.55
0.38	0.010	0.005	4.94
0.38	0.011	0.005	5.25
0.38	0.012	0.005	0.38
0.38	0.013	0.005	2.28
0.38	0.014	0.005	0.18
0.39	0.015	0.006	5.72
0.39	0.016	0.006	5.26
0.39	0.018	0.006	1.77
0.39	0.019	0.006	0.39
0.39	0.020	0.006	4.57
0.39	0.022	0.007	5.13
0.39	0.023	0.007	2.17
0.39	0.025	0.007	1.23
0.39	0.027	0.007	0.45
0.39	0.028	0.008	1.34
0.40	0.030	0.008	4.07
0.40	0.032	0.008	2.83
0.40	0.034	0.008	5.92
0.40	0.037	0.009	3.41
0.40	0.039	0.009	6.05
0.40	0.041	0.009	2.82
0.40	0.044	0.009	1.53
0.40	0.046	0.010	0.29
0.40	0.049	0.010	1.53
0.40	0.052	0.010	4.68
0.41	0.055	0.010	3.40
0.41	0.058	0.011	1.71
0.41	0.061	0.011	1.50
0.41	0.065	0.011	2.68
0.41	0.068	0.012	0.86
0.41	0.072	0.012	4.69
0.41	0.076	0.012	0.92
0.41	0.080	0.013	0.91
0.41	0.084	0.013	1.74
0.41	0.088	0.013	2.37
0.42	0.092	0.014	4.33
0.42	0.097	0.014	5.48
0.42	0.101	0.014	2.97
0.42	0.106	0.015	0.62
0.42	0.111	0.015	1.47
0.42	0.116	0.015	1.68
0.42	0.121	0.016	0.39
0.42	0.127	0.016	3.99
0.42	0.132	0.016	6.22
0.42	0.138	0.017	1.00
0.43	0.144	0.017	0.93
0.43	0.150	0.017	4.38
0.43	0.156	0.018	2.46
0.43	0.162	0.018	0.91
0.43	0.169	0.018	4.60
0.43	0.176	0.019	2.33
0.43	0.182	0.019	0.35
0.43	0.189	0.019	2.19
0.43	0.197	0.020	4.11
0.43	0.204	0.020	5.73
0.43	0.211	0.021	2.78
0.44	0.219	0.021	5.96
0.44	0.227	0.021	2.66
0.44	0.235	0.022	4.98
0.44	0.243	0.022	1.05
0.44	0.251	0.022	4.76
0.44	0.260	0.023	5.55
0.44	0.268	0.023	3.79
0.44	0.277	0.024	1.29
0.44	0.286	0.024	4.23
0.45	0.295	0.024	4.17
0.45	0.304	0.025	3.76
0.45	0.314	0.025	5.87
0.45	0.323	0.025	1.91
0.45	0.333	0.026	5.10
0.45	0.343	0.026	0.61
0.45	0.353	0.027	5.35
0.45	0.363	0.027	5.84
0.45	0.373	0.027	1.32
0.45	0.383	0.028	5.24
0.46	0.394	0.028	3.03
0.46	0.405	0.028	3.13
0.46	0.415	0.029	1.37
0.46	0.426	0.029	4.91
0.46	0.437	0.030	3.68
0.46	0.449	0.030	3.74
0.46	0.460	0.030	2.11
0.46	0.471	0.031	5.07
0.46	0.483	0.031	6.00
0.46	0.494	0.031	5.12
0.47	0.506	0.032	6.04
0.47	0.518	0.032	1.65
0.47	0.530	0.033	5.29
0.47	0.542	0.033	0.66
0.47	0.554	0.033	2.38
0.47	0.567	0.034	5.83
0.47	0.579	0.034	4.14
0.47	0.592	0.034	0.01
0.47	0.604	0.035	5.15
0.47	0.617	0.035	0.87
0.48	0.630	0.035	1.49
0.48	0.642	0.036	5.94
0.48	0.655	0.036	2.56
0.48	0.668	0.037	1.33
0.48	0.682	0.037	5.11
0.48	0.695	0.037	3.33
0.48	0.708	0.038	0.75
0.48	0.721	0.038	0.87
0.48	0.735	0.038	0.97
0.48	0.748	0.039	2.91
0.49	0.762	0.039	5.70
0.49	0.776	0.039	0.80
0.49	0.790	0.040	5.09
0.49	0.803	0.040	3.06
0.49	0.817	0.040	4.13
0.49	0.832	0.041	0.57
0.49	0.846	0.041	0.87
0.49	0.860	0.041	3.08
0.49	0.874	0.042	3.12
0.49	0.889	0.042	5.69
0.49	0.903	0.043	3.78
0.50	0.918	0.043	5.21
0.50	0.933	0.043	3.68
0.50	0.948	0.044	0.45
0.50	0.963	0.044	0.21
0.50	0.978	0.044	3.47
0.50	0.993	0.045	5.33
0.50	1.008	0.045	0.68
0.50	1.024	0.045	1.00
0.50	1.039	0.046	4.57
0.51	1.055	0.046	2.03
0.51	1.071	0.046	0.48
0.51	1.087	0.047	2.26
0.51	1.104	0.047	3.12
0.51	1.120	0.047	5.73
0.51	1.137	0.048	4.88
0.51	1.154	0.048	2.21
0.51	1.171	0.048	3.63
0.51	1.189	0.049	1.70
0.51	1.206	0.049	5.66
0.52	1.224	0.049	0.25
0.52	1.243	0.050	0.56
0.52	1.261	0.050	2.56
0.52	1.280	0.051	1.32
0.52	1.299	0.051	0.21
0.52	1.319	0.051	1.72
0.52	1.339	0.052	5.13
0.52	1.359	0.052	1.82
0.52	1.380	0.053	4.23
0.52	1.401	0.053	2.27
0.53	1.422	0.053	1.37
0.53	1.444	0.054	4.99
0.53	1.467	0.054	6.01
0.53	1.490	0.055	3.48
